id;start_date;end_date;language
1;2020-03-16T08:12:00;2020-03-16T06:02:15;SPANISH
2;2020-03-15T13:02:11;2020-03-16T08:06:36;SPANISH
3;2020-03-16T03:57:30;2020-03-15T14:31:39;FRENCH
4;2020-03-15T19:15:01;2020-03-16T06:46:27;FRENCH
5;2020-03-16T04:45:19;2020-03-16T09:32:18;FRENCH
6;2020-03-15T22:37:40;2020-03-16T10:45:54;FRENCH
7;2020-03-16T00:23:00;2020-03-15T18:13:51;FRENCH
8;2020-03-15T23:19:13;2020-03-16T09:35:21;SPANISH
9;2020-03-15T22:00:22;2020-03-15T18:41:45;SPANISH
10;2020-03-16T06:12:26;2020-03-15T16:46:56;SPANISH
